Finding	Type	Location A	Location B	Identical / divergent / contradictory	What breaks
[MEDIA-P1] is copied into both prompts.	duplication	2-framing-construction.txt, lines 88-142: “Six axes… EVENT CLASSIFICATION… CAUSE… ROLE-AND-STATUS… BLAME / RESPONSIBILITY… REMEDY… LEADERSHIP / POLICY…”	2-coverage-network.txt, lines 73-127: same block beginning “Six axes…” and ending with the same branch-specific layers.	identical	No current functional risk; identical compact copies are a drift watch-point because either file can later change independently.
EVENT CLASSIFICATION is defined twice in the single-piece prompt.	duplication	2-framing-construction.txt, line 94: “The noun or frame assigned to the event itself. The noun is a claim.”	2-framing-construction.txt, lines 375-379: “EVENT CLASSIFICATION - often the single most consequential flag… The noun chosen is a claim.”	divergent	No current functional conflict; the local version adds salience and examples not present in the compact rule, creating future drift risk.
The role axis has two names.	fork	2-framing-construction.txt, lines 98-99: “ROLE-AND-STATUS”	2-framing-construction.txt, lines 372-373: “ROLE AND STATUS IN THE EVENT”	divergent	The same axis can be emitted under two keys, weakening direct comparison with the coverage table’s ROLE-AND-STATUS column.
The leadership axis has two names.	fork	2-framing-construction.txt, line 105: “LEADERSHIP / POLICY”	2-framing-construction.txt, lines 391-393: “LEADERSHIP / POLICY CHARACTERIZATION”	divergent	Direct cross-branch alignment can split one axis into two labels.
The BLAME / RESPONSIBILITY definition is duplicated at different breadth.	duplication	2-framing-construction.txt, line 101: “Who or what is assigned fault.”	2-framing-construction.txt, lines 385-386: “whether responsibility is individualized, institutionalized, diffused, or left unassigned”	divergent	A run following only the compact definition may miss diffusion or deliberate non-assignment, while E2.1 treats those as part of the axis.
The REMEDY definition is duplicated at different breadth.	duplication	2-framing-construction.txt, line 103: “Whether a fix is offered, and whose fix or action is proposed.”	2-framing-construction.txt, lines 388-389: “Whether the piece frames a remedy at all is itself a choice.”	divergent	The compact version may capture the remedy’s owner but not treat absence of any remedy as an assignment.
The non-inference gate has different scope in the single-piece prompt.	fork	2-framing-construction.txt, lines 90-92: “Never infer cause, blame, motive, role, or status from names, appearance, employer, or location.”	2-framing-construction.txt, lines 435-437: “Never infer race, religion, immigration status, ideology, funding, or motive from names, appearance, location, employer, or rumor.”	divergent	The local E2.1 rule omits cause, blame, role, and status from the prohibition, so it is weaker than the compact gate at the point of execution.
VERB-AS-TRACE is stated twice in the single-piece prompt.	duplication	2-framing-construction.txt, lines 116-132: “reportable as framing only when it MOVES an assignment…”	2-framing-construction.txt, lines 471-480: “a narrative flag only when it MOVES a [MEDIA-P1] axis assignment.”	divergent	The first routes the result to generic framing; the second routes it specifically to narrative flag, creating a finding-type fork.
REGISTER variance receives opposite reporting instructions.	fork	2-framing-construction.txt, lines 127-128: “Record it as register only; do not report it as framing.”	2-framing-construction.txt, lines 489-491 and 537-539: “SYNONYM / REGISTER VARIANCE…” and “Synonym variance alone is MINOR at most.”	contradictory	The same register-only difference is either excluded from findings or retained as a MINOR finding.
Section D can bypass the VERB-AS-TRACE gate.	fork	2-framing-construction.txt, lines 118-128: a verb is reportable only if it moves a causal-role assignment; otherwise it is not framing.	2-framing-construction.txt, lines 285-292: vivid-versus-clinical or reversed verb asymmetry is declared “the construction effect.”	contradictory	A vividness/register difference that moves no shared axis can still become a construction finding through Section D.
The single-piece and coverage prompts use different finding-type vocabularies for the harmonized axes.	fork	2-framing-construction.txt, line 1239: “construction… causal-bridge / narrative-flag…” with no causal-role-framing value.	2-coverage-network.txt, line 766: “framing-divergence / causal-role-framing / clustering”	divergent	The same shared-axis finding is serialized under different finding types, preventing literal output alignment.
D2 claims output-level vocabulary alignment that the single-piece finding table does not provide.	broken-ref	2-coverage-network.txt, lines 532-535: “Both branches now emit findings in the [MEDIA-P1] vocabulary, so D2 lines them up directly…”	2-framing-construction.txt, line 1239: the allowed finding types omit causal-role-framing; lines 372-398 also retain local axis headings.	contradictory	D2 cannot line up standardized rows directly without translating finding type and some axis labels.
The single-piece flip test does not point back to the causal-role section it is required to test.	broken-ref	2-framing-construction.txt, lines 136-138: “Apply the mirror and flip guard to these axes.”	2-framing-construction.txt, lines 1127-1129: “Run your own Section B/C/D criteria” against the mirror.	contradictory	If the top finding comes from E2.1 / [MEDIA-P1], the mirror is not explicitly audited with the causal-role criteria that produced it.
The coverage prompt both forbids and permits headline-only assignments.	fork	2-coverage-network.txt, lines 75-77: “Do not infer an assignment from the headline alone.”	2-coverage-network.txt, lines 379-382: “HEADLINE-ONLY… A headline-only assignment may not anchor… Mark it PROVISIONAL.”	contradictory	One run must leave the axis blank; another may populate it provisionally from the same headline.
The coverage epistemic ladder is duplicated.	duplication	2-coverage-network.txt, lines 92-99: the five values plus silent upward-movement test.	2-coverage-network.txt, lines 384-392: the same five values plus separate treatment of cause and blame.	divergent	No current value conflict; the D-ROLE version adds separateness and per-outlet application, so one copy can drift without the other.
VERB-AS-TRACE is duplicated in the coverage prompt.	duplication	2-coverage-network.txt, lines 101-117: axis-movement gate, examples, register-only rule, causal-bridge distinction.	2-coverage-network.txt, lines 416-432: the same gate, examples, register-only rule, and causal-bridge distinction.	identical	No current functional risk; exact duplicated execution rules are a drift watch-point.
The inheritance status is declared per assignment but recorded per outlet row.	fork	2-coverage-network.txt, line 374: one terminal table column, CHOSEN / INHERITED, for the entire outlet row.	2-coverage-network.txt, lines 394-400: “Apply per assignment” and define each assignment as CHOSEN or INHERITED.	contradictory	An outlet can inherit CAUSE but choose EVENT CLASSIFICATION; the table has no place to preserve mixed provenance across axes.
D7 and D-ROLE use incompatible inheritance taxonomies.	fork	2-coverage-network.txt, lines 346-351: independent convergence / wire inheritance / common primary source / legal convention / shared blind spot; all but the first are called inherited.	2-coverage-network.txt, lines 394-400: INHERITED means traceable to wire copy or a shared upstream source.	contradictory	Legal convention and shared blind spot are “inherited” under D7 but do not satisfy D-ROLE’s definition, leaving them misclassified or unclassified.
D7 retains an analysis that overlaps the axis it cedes to D-ROLE.	duplication	2-coverage-network.txt, lines 321-325: ROLE-AND-STATUS is “owned by D-ROLE.”	2-coverage-network.txt, lines 316-332: D7 retains “biography and individualization” and asks whether one outlet “individualize[s] a party [while] another categorizes.”	divergent	Actor categorization can be recorded both as D7 individualization and D-ROLE role-and-status despite the ownership declaration.
The causal-role flip gate is duplicated at two different strengths.	duplication	2-coverage-network.txt, lines 455-466: local valence-reversal question; downgrade or drop if it fails.	2-coverage-network.txt, lines 665-735: full mirror construction, mirror audit, ranking, and automatic downgrade.	divergent	It is unclear whether a causal-role finding is tested twice, downgraded twice, or whether the local check substitutes for the mandatory Section F process.
D-ROLE points to a removed section identifier.	broken-ref	2-coverage-network.txt, line 359: “absorbs D8”	2-coverage-network.txt, line 487: the next section is D9; no D8 heading remains.	contradictory	Tests, instructions, or external references keyed to D8 cannot resolve to a live section.
